Ornn,Graves,Lissandra,MissFortune,Amumu,Gnar,Hecarim,Taliyah,Seraphine,Leona
Aatrox,Graves,Viktor,MissFortune,Leona,Renekton,Viego,Sylas,Caitlyn,Lux
Jax,Hecarim,Azir,Seraphine,Nautilus,Fiora,Sejuani,Leblanc,Kaisa,Amumu
Aatrox,Trundle,Sylas,Kaisa,Alistar,Renekton,JarvanIV,Azir,MissFortune,Leona
Gwen,Graves,Swain,Tristana,Braum,Maokai,LeeSin,Viktor,Kalista,Nautilus
Aatrox,Poppy,Taliyah,Aphelios,Alistar,Sejuani,Viego,Zoe,MissFortune,Amumu
Gwen,Hecarim,Zac,MissFortune,Leona,Sejuani,Trundle,Sylas,Kaisa,Alistar
Aatrox,Maokai,Akali,Tristana,Rell,Jax,Vi,Leblanc,Nilah,Alistar
Aatrox,LeeSin,Leblanc,Kaisa,Maokai,Kennen,Trundle,Viktor,MissFortune,Alistar
Aatrox,Maokai,Akali,Kalista,Taric,Gnar,MonkeyKing,Viktor,MissFortune,Amumu
Aatrox,Poppy,Viktor,Aphelios,Renata,Zilean,Hecarim,Leblanc,Kalista,Sett
Kennen,Hecarim,Azir,Kaisa,Rell,Aatrox,MonkeyKing,Seraphine,Xayah,Rakan
Kennen,LeeSin,Sylas,Aphelios,Thresh,Aatrox,Vi,Akali,Xayah,Rakan
Aatrox,Maokai,Azir,Ezreal,TahmKench,Irelia,Graves,Galio,Xayah,Renata
Aatrox,Trundle,Taliyah,Kaisa,Nautilus,Jax,Graves,Galio,Aphelios,Leona
Ornn,Trundle,Azir,Kalista,Leona,Gnar,Maokai,Akali,MissFortune,Amumu
Aatrox,Maokai,Sylas,MissFortune,Amumu,Fiora,Sejuani,Akali,Caitlyn,Braum
Gnar,Hecarim,Swain,Seraphine,Alistar,Camille,Maokai,Galio,MissFortune,Amumu
Gnar,Maokai,Sylas,Aphelios,Leona,Lillia,Trundle,Vex,Kaisa,Amumu
Gangplank,Hecarim,Azir,Ezreal,Leona,Vladimir,LeeSin,Viktor,Aphelios,Nautilus
Aatrox,Graves,Syndra,Kaisa,Sett,Teemo,Lillia,Sion,MissFortune,Nautilus
Kennen,XinZhao,Taliyah,Kaisa,Leona,Aatrox,Maokai,Sylas,Ezreal,Alistar
Aatrox,Sejuani,Sylas,Tristana,Amumu,Garen,Maokai,Akali,Samira,Sett
Maokai,Viego,Azir,Aphelios,Alistar,Sylas,Sejuani,Yone,MissFortune,Amumu
Jax,Sejuani,Sylas,Kaisa,Nautilus,Gragas,Graves,Akali,Aphelios,Maokai
Aatrox,Viego,Sylas,Kalista,Amumu,Camille,Hecarim,Galio,Ashe,Braum
Gnar,Maokai,Ahri,Sivir,Yuumi,Aatrox,Sejuani,Leblanc,MissFortune,Soraka
Gnar,Maokai,Viktor,Nilah,Yuumi,Aatrox,MonkeyKing,Sylas,Kaisa,Rell
Camille,Sejuani,Sylas,Sivir,Yuumi,Mordekaiser,Belveth,Vex,MissFortune,Leona
Fiora,Vi,Sylas,Tristana,Shen,Lillia,LeeSin,Zac,Aphelios,Leona
Aatrox,Trundle,Akali,Aphelios,Thresh,Gnar,Hecarim,Vex,Kaisa,Sett
Sejuani,Viego,Taliyah,MissFortune,Nautilus,Mordekaiser,Trundle,Azir,Kaisa,Leona
Gnar,Hecarim,Sylas,Jinx,TahmKench,Gwen,Maokai,Vex,Caitlyn,Morgana
Gnar,Hecarim,Taliyah,Seraphine,Leona,Vayne,Maokai,Lissandra,MissFortune,Nautilus
Lillia,Hecarim,Lissandra,Kaisa,Shen,Gnar,Belveth,Vex,Varus,TahmKench
Fiora,Pantheon,Taliyah,Kalista,Sett,Ornn,Belveth,Vex,Varus,Alistar
Olaf,Maokai,Akali,MissFortune,Amumu,Gnar,Sejuani,Azir,Caitlyn,Morgana
Gnar,Sejuani,Azir,Tristana,Leona,Aatrox,Hecarim,Galio,Seraphine,Alistar
Jax,Maokai,Lissandra,Kaisa,Rell,Gnar,Hecarim,Taliyah,Sivir,Yuumi
Camille,Sejuani,Galio,Ezreal,Leona,Gnar,Maokai,Viktor,Kaisa,Shen
Aatrox,Maokai,Viktor,Varus,TahmKench,Rumble,Vi,Sylas,Draven,Leona
Ornn,Trundle,Sylas,Draven,Alistar,Gangplank,Sejuani,Sett,Sivir,Yuumi
Sejuani,LeeSin,Leblanc,Aphelios,Braum,Gwen,Graves,Viktor,Kalista,Renata
Aatrox,Sejuani,Taliyah,Kaisa,Nautilus,Kennen,Maokai,Yone,Tristana,Leona
,,,,,,,,,
